id,region_id,experiment_id,start_datetime,stop_datetime,sex,genotype,replicate
2026-05-11 22:00:00|Monitor15.14.26.txt|30,30,2026-05-11 22:00:00|Monitor15.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor15.14.26.txt|31,31,2026-05-11 22:00:00|Monitor15.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor15.14.26.txt|32,32,2026-05-11 22:00:00|Monitor15.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|01,1,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|02,2,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|03,3,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|04,4,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|05,5,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|06,6,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|07,7,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|08,8,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|09,9,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|10,10,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|11,11,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|12,12,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|13,13,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|14,14,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|15,15,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|16,16,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|17,17,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|18,18,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|19,19,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|20,20,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|21,21,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|22,22,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|23,23,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|24,24,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|25,25,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|26,26,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|27,27,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|28,28,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|29,29,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|30,30,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|31,31,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor25.14.26.txt|32,32,2026-05-11 22:00:00|Monitor25.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|01,1,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|02,2,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|03,3,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|04,4,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|05,5,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|06,6,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|07,7,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|08,8,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|09,9,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|10,10,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|11,11,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|12,12,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|13,13,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|14,14,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|15,15,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|16,16,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|17,17,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|18,18,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|19,19,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|20,20,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|21,21,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|22,22,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|23,23,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|24,24,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|25,25,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|26,26,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|27,27,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|28,28,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|29,29,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|30,30,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|31,31,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-11 22:00:00|Monitor35.14.26.txt|32,32,2026-05-11 22:00:00|Monitor35.14.26.txt,2026-05-11T22:00:00Z,2026-05-14T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|01,1,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|02,2,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|03,3,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|04,4,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|05,5,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|06,6,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|07,7,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|08,8,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|09,9,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|10,10,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|11,11,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|12,12,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|13,13,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|14,14,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|15,15,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|16,16,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|17,17,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|18,18,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|19,19,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,WR,3
2026-05-16 22:00:00|Monitor15.20.26.txt|20,20,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|21,21,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|22,22,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|23,23,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|24,24,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|25,25,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|26,26,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|27,27,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|28,28,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|29,29,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|30,30,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|31,31,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-16 22:00:00|Monitor15.20.26.txt|32,32,2026-05-16 22:00:00|Monitor15.20.26.txt,2026-05-16T22:00:00Z,2026-05-19T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|01,1,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|02,2,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|03,3,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|04,4,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|05,5,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|06,6,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|07,7,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|08,8,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|09,9,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|10,10,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|11,11,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|12,12,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|13,13,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|14,14,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|15,15,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|16,16,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,WR,3
2026-05-21 22:00:00|Monitor15.26.26.txt|17,17,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|18,18,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|19,19,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
2026-05-21 22:00:00|Monitor15.26.26.txt|20,20,2026-05-21 22:00:00|Monitor15.26.26.txt,2026-05-21T22:00:00Z,2026-05-24T10:00:00Z,Female,CS,3
