"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"128up",663.221044417182,704.211899093539,560.483096782495,657.711629539882,672.378517370752,638.544105071387
"14-3-3epsilon",53.1736988964213,47.2097362520808,45.3764426180731,95.1810325675601,70.4676175410395,71.6961802185417
"14-3-3zeta",7.73435620311583,0.983536171918351,0.840304492927279,1.06944980412989,3.91486764116886,3.36075844774414
"140up",0,0,0,0,0,0
"18SrRNA:CR41548",0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0
"18w",318.075398853138,427.838234784483,452.083817194876,507.988656961697,500.124341159322,431.297334127165
"28SrRNA:CR45837",0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0
"2mit",0,0,0,0,0,0
"4E-T",0,0,1.68060898585456,0,0,0
"5-HT1A",0,0,0,0,0,0
"5-HT1B",0,0,0,0,0,0
"5-HT2A",11.6015343046737,9.83536171918351,6.72243594341823,27.8056949073771,3.91486764116886,21.2848035023796
"5-HT2B",29.9706302870738,23.6048681260404,34.4524842100184,40.6390925569358,39.1486764116886,34.7278372933561
"5-HT7",24.169863134737,17.7036510945303,21.8479168161093,43.8474419693254,19.5743382058443,33.6075844774414
"5.8SrRNA:CR40454",0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0
"5PtaseI",59.9412605741476,88.5182554726516,96.6350166866371,104.806080804729,107.658860132144,103.063259064154
"5SrRNA:CR33353",0,0,0,0,0,0
"5SrRNA:CR33354",0,0,0,0,0,0
"5SrRNA:CR33355",0,0,0,0,0,0
"5SrRNA:CR33357",0,0,0,0,0,0
"5SrRNA:CR33358",0,0,0,0,0,0
"5SrRNA:CR33359",0,0,0,0,0,0
"5SrRNA:CR33360",0,0,0,0,0,0
"5SrRNA:CR33361",0,0,0,0,0,0
"5SrRNA:CR33362",0,0,0,0,0,0
"5SrRNA:CR33364",0,0,0,0,0,0
"5SrRNA:CR33365",0,0,0,0,0,0
"5SrRNA:CR33366",0,0,0,0,0,0
"5SrRNA:CR33367",0,0,0,0,0,0
"5SrRNA:CR33368",0,0,0,0,0,0
"5SrRNA:CR33369",0,0,0,0,0,0
"5SrRNA:CR33370",0,0,0,0,0,0
"5SrRNA:CR33372",0,0,0,0,0,0
"5SrRNA:CR33373",0,0,0,0,0,0
"5SrRNA:CR33374",0,0,0,0,0,0
"5SrRNA:CR33375",0,0,0,0,0,0
"5SrRNA:CR33376",0,0,0,0,0,0
"5SrRNA:CR33377",0,0,0,0,0,0
"5SrRNA:CR33378",0,0,0,0,0,0
"5SrRNA:CR33379",0,0,0,0,0,0
"5SrRNA:CR33380",0,0,0,0,0,0
"5SrRNA:CR33381",0,0,0,0,0,0
"5SrRNA:CR33382",0,0,0,0,0,0
"5SrRNA:CR33383",0,0,0,0,0,0
"5SrRNA:CR33384",0,0,0,0,0,0
"5SrRNA:CR33385",0,0,0,0,0,0
"5SrRNA:CR33386",0,0,0,0,0,0
"5SrRNA:CR33387",0,0,0,0,0,0
"5SrRNA:CR33388",0,0,0,0,0,0
"5SrRNA:CR33389",0,0,0,0,0,0
"5SrRNA:CR33390",0,0,0,0,0,0
"5SrRNA:CR33391",0,0,0,0,0,0
"5SrRNA:CR33392",0,0,0,0,0,0
"5SrRNA:CR33393",0,0,0,0,0,0
"5SrRNA:CR33394",0,0,0,0,0,0
"5SrRNA:CR33395",0,0,0,0,0,0
"5SrRNA:CR33396",0,0,0,0,0,0
"5SrRNA:CR33397",0,0,0,0,0,0
"5SrRNA:CR33398",0,0,0,0,0,0
"5SrRNA:CR33399",0,0,0,0,0,0
"5SrRNA:CR33400",0,0,0,0,0,0
"5SrRNA:CR33401",0,0,0,0,0,0
"5SrRNA:CR33402",0,0,0,0,0,0
"5SrRNA:CR33403",0,0,0,0,0,0
"5SrRNA:CR33404",0,0,0,0,0,0
"5SrRNA:CR33405",0,0,0,0,0,0
"5SrRNA:CR33406",0,0,0,0,0,0
"5SrRNA:CR33407",0,0,0,0,0,0
"5SrRNA:CR33408",0,0,0,0,0,0
"5SrRNA:CR33409",0,0,0,0,0,0
