"","CSF1","CSF2","CSF3","WTF1","WTF2","WTF3","CSM1","CSM2","CSM3","WTM1","WTM2","WTM3"
"128up",493.622372432968,453.669377890851,430.931716757324,434.512355945319,475.916841914538,603.90942565418,663.221044417182,704.211899093539,560.483096782495,657.711629539882,672.378517370752,638.544105071387
"14-3-3epsilon",47.8664118722878,29.5670470315829,50.5159189500212,51.568499386917,47.1814110518723,54.3518483088762,53.1736988964213,47.2097362520808,45.3764426180731,95.1810325675601,70.4676175410395,71.6961802185417
"14-3-3zeta",4.98608457002998,0.923970219736966,0,0,2.05136569790749,6.0390942565418,7.73435620311583,0.983536171918351,0.840304492927279,1.06944980412989,3.91486764116886,3.36075844774414
"140up",0,0,1.030937121429,0,0,0,0,0,0,0,0,0
"18SrRNA:CR41548",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0,0,0,0,0,0,0
"18w",474.675251066854,481.38848448296,521.654183443076,503.270355127875,437.96657650325,419.717050829655,318.075398853138,427.838234784483,452.083817194876,507.988656961697,500.124341159322,431.297334127165
"28SrRNA:CR45837",0,0,0,0,0,0,0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0,0,0,0,0,0,0
"2mit",0,0,0,0,0,0,0,0,0,0,0,0
"4E-T",0.997216914005997,0,0,0.954972210868833,0,0,0,0,1.68060898585456,0,0,0
"5-HT1A",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT1B",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT2A",14.95825371009,17.5554341750024,34.0209250071572,23.8743052717208,25.6420712238437,9.05864138481271,11.6015343046737,9.83536171918351,6.72243594341823,27.8056949073771,3.91486764116886,21.2848035023796
"5-HT2B",23.9332059361439,16.6314639552654,35.0518621285862,41.0638050673598,27.6934369217512,15.0977356413545,29.9706302870738,23.6048681260404,34.4524842100184,40.6390925569358,39.1486764116886,34.7278372933561
"5-HT7",19.9443382801199,6.46779153815877,15.4640568214351,29.6041385369338,15.3852427343062,19.123798479049,24.169863134737,17.7036510945303,21.8479168161093,43.8474419693254,19.5743382058443,33.6075844774414
"5.8SrRNA:CR40454",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0,0,0,0,0,0,0
"5PtaseI",118.668812766714,115.496277467121,81.4440325928914,85.947498978195,91.2857735568834,88.5733824292798,59.9412605741476,88.5182554726516,96.6350166866371,104.806080804729,107.658860132144,103.063259064154
